open,high,low,close,volume,sma_5,sma_10,sma_20,sma_50,sma_100,ema_5,ema_10,ema_20,ema_50,ema_100,rsi_14,ema_12,ema_26,macd,macd_signal,macd_hist,bb_middle,bb_std,bb_upper,bb_lower,atr_14,roc_5,roc_10,roc_20,stoch_k,stoch_d,future_price,price_change_pct
87519.13,87544.36,87519.12,87540.89,27.71058,87519.076,87505.152,87394.01550000001,87335.10700000002,87444.3733,87522.51423073384,87487.09340089704,87429.66098776573,87403.91366697899,87463.03235530674,67.0083717751584,87472.96420397187,87411.53281043249,61.4313935393875,43.18071062915869,18.25068291022881,87394.01550000001,126.22092555157604,87646.45735110316,87141.57364889685,85.35428571428513,0.0234688275355221,0.1810083275045615,0.1497311349123675,78.49195047186863,77.76865953834938,88056.61,0.5891189819980139
87540.89,87587.24,87538.39,87565.05,29.38459,87543.51999999999,87523.258,87410.454,87336.38119999999,87442.1113,87536.69282048923,87501.26732800667,87442.55517940709,87410.23273886216,87465.05250668681,69.05507637449988,87487.13124951466,87422.90445410415,64.22679541050456,47.38992758542786,16.836867825076702,87410.454,126.00554404676272,87662.46508809352,87158.44291190647,87.34642857142899,0.1397713225887109,0.2072004265312177,0.3768730165935485,84.32333277014857,78.68504260095142,88041.26,0.5438356970046746
87565.05,87608.97,87565.04,87599.76,40.3343,87555.698,87524.10800000001,87423.46849999999,87338.68179999999,87440.9242,87557.7152136595,87519.17508655091,87457.52706708261,87417.66518047542,87467.71998180193,72.31043710972311,87504.45874958932,87436.00486491124,68.45388467807788,51.60271900395787,16.85116567412001,87423.46849999999,131.6056779000176,87686.67985580003,87160.25714419995,85.31928571428683,0.069557671923337,0.0097041645479301,0.2980210436358099,92.5405165396272,85.1185999272148,88035.56,0.4974899474610466
87599.76,87665.99,87599.75,87618.6,39.58073,87568.686,87536.965,87438.0595,87340.5412,87441.34019999999,87578.01014243967,87537.25234354164,87472.86734640808,87425.54497731951,87470.70770493455,70.98016728786713,87522.0189419602,87449.53043047337,72.48851148682297,55.7798775005309,16.70863398629207,87438.0595,136.41089732958696,87710.88129465918,87165.23770534083,85.13000000000154,0.0741716565589634,0.1469538872029163,0.3341701136810648,87.68707129494938,88.18364020157505,88062.67,0.5068216109364819
87618.59,87768.0,87618.59,87767.99,104.90517,87618.45800000001,87566.713,87463.48199999999,87346.95059999998,87443.8158,87641.33676162644,87579.20464471588,87500.97426579778,87438.97419389522,87476.59448305465,72.63976870732307,87559.86064319708,87473.12002821609,86.74061498099763,61.97202499662425,24.768589984373385,87463.48199999999,148.25468451285147,87759.9913690257,87166.97263097428,88.54357142857354,0.2843492616985577,0.3400917634983624,0.5826870047676236,99.99761751602344,93.40840178353336,88047.37,0.3183165069634044
87767.99,87780.01,87729.25,87738.65,33.89613,87658.01000000001,87588.543,87487.0865,87351.6394,87447.49690000001,87673.77450775096,87608.19470931299,87523.61005000753,87450.72618629149,87481.78370121199,70.17543859649021,87587.36669808984,87492.7889150149,94.577783074943,68.493176612288,26.084606462655003,87487.0865,152.76491810263406,87792.61633620528,87181.55666379473,88.7064285714306,0.2259058595360352,0.2494277045281379,0.5409746872112153,89.77123778904378,92.4853088666722,87918.49,0.2049723810430307
87738.66,87849.16,87728.26,87849.16,78.83432,87714.832,87629.176,87516.437,87359.95060000001,87451.81109999999,87732.23633850065,87652.00658034699,87554.61480714967,87466.35104173103,87489.0584794058,66.4859750952464,87627.64259069141,87519.18677316194,108.455817529466,76.48570479572359,31.97011273374241,87516.437,163.3009873983581,87843.03897479673,87189.83502520328,79.17500000000291,0.3244559330463525,0.4646807519838924,0.6726971544936733,100.0,96.58961843502242,87916.0,0.0760849619962177
87849.15,87923.92,87824.07,87909.07,53.56983,87776.694,87666.196,87549.456,87370.03480000001,87455.3119,87791.18089233377,87698.74538392026,87588.37244456398,87483.71256950629,87497.37553921953,78.2806468158615,87670.93911520042,87548.06701218698,122.87210301344749,85.76298443926838,37.10911857417911,87549.456,172.8010975051081,87895.05819501022,87203.85380498979,77.30642857143123,0.3530945746883507,0.4228978509775327,0.7568938857420049,96.91325947328122,95.56149908744165,87959.73,0.0576277282878648
87909.07,87953.63,87818.15,87850.0,45.58156,87822.974,87695.83,87580.72550000002,87379.71440000001,87458.08009999999,87810.78726155584,87726.24622320749,87613.28935460551,87498.07678246683,87504.35820180924,74.31350187721725,87698.48694363113,87570.43241869163,128.0545249394927,94.22129253931324,33.833232400179455,87580.72550000002,167.42481522282478,87915.57513044566,87245.87586955437,83.14571428571799,0.2640991752892674,0.3384667185814871,0.7169880151943309,79.71221613155754,92.20849186827958,87899.99,0.0569038133181619
87850.01,87858.7,87770.62,87776.42,70.01531,87824.66,87721.55900000001,87605.447,87388.7508,87460.8242,87799.3315077039,87735.36872807884,87628.82560654785,87508.99220276225,87509.74556414965,65.92178076229438,87710.47664461096,87585.69075804781,124.7858865631424,100.33421134407908,24.451675219063333,87605.447,157.18254446755978,87919.81208893513,87291.08191106487,81.5214285714319,0.0096048684719685,0.2939814415431119,0.5664742520192334,65.3073610023482,80.64427886906232,87898.8,0.1394224097998126
