open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-04-01 20:15:00,1909.07,1913.0,1907.28,1907.28,955.7798,2025-04-01 20:19:59.999,1825937.86882,4552,542.8511,1037167.58171,0
2025-04-01 20:20:00,1907.28,1907.32,1904.7,1906.68,690.4578,2025-04-01 20:24:59.999,1316063.19561,3939,284.1454,541588.927919,0
2025-04-01 20:25:00,1906.69,1906.69,1901.15,1902.65,868.5327,2025-04-01 20:29:59.999,1652683.064881,4646,254.9556,485046.300519,0
2025-04-01 20:30:00,1902.65,1906.69,1897.13,1905.89,2705.3566,2025-04-01 20:34:59.999,5141463.743528,9212,1502.8754,2856458.280561,0
2025-04-01 20:35:00,1905.89,1907.25,1903.72,1906.08,677.3173,2025-04-01 20:39:59.999,1290764.595086,4259,322.9012,615325.528114,0
2025-04-01 20:40:00,1906.09,1908.27,1905.52,1905.82,594.7282,2025-04-01 20:44:59.999,1134103.059955,2503,301.9282,575651.598477,0
2025-04-01 20:45:00,1905.83,1909.99,1905.67,1907.0,823.1477,2025-04-01 20:49:59.999,1570318.063586,5819,457.9638,873598.84889,0
2025-04-01 20:50:00,1906.99,1915.73,1906.54,1912.72,2843.0662,2025-04-01 20:54:59.999,5435865.404481,8687,1692.7918,3236685.049305,0
2025-04-01 20:55:00,1912.72,1914.48,1911.7,1912.84,637.382,2025-04-01 20:59:59.999,1219464.607441,3457,260.7738,498805.661983,0
2025-04-01 21:00:00,1912.84,1915.22,1908.82,1912.57,1366.476,2025-04-01 21:04:59.999,2612600.123173,6507,565.0345,1080376.437238,0
2025-04-01 21:05:00,1912.56,1915.67,1911.4,1915.39,829.2097,2025-04-01 21:09:59.999,1586915.963791,4114,536.8861,1027637.941259,0
2025-04-01 21:10:00,1915.39,1917.31,1914.78,1914.78,994.7195,2025-04-01 21:14:59.999,1905928.570874,3874,506.8398,971107.284888,0
2025-04-01 21:15:00,1914.79,1915.99,1913.59,1915.85,824.0203,2025-04-01 21:19:59.999,1577483.712137,2919,396.5354,759085.473261,0
2025-04-01 21:20:00,1915.85,1916.59,1913.72,1916.59,453.2982,2025-04-01 21:24:59.999,867970.770905,2194,203.1658,388991.766942,0
2025-04-01 21:25:00,1916.58,1916.74,1914.93,1914.93,374.7571,2025-04-01 21:29:59.999,718111.192228,2395,179.3186,343596.405216,0
2025-04-01 21:30:00,1914.92,1915.54,1911.81,1915.54,470.3702,2025-04-01 21:34:59.999,900003.151181,2975,272.6881,521713.94328,0
2025-04-01 21:35:00,1915.54,1922.75,1913.71,1921.29,2615.6936,2025-04-01 21:39:59.999,5020045.692068,11257,1605.8942,3081835.624585,0
2025-04-01 21:40:00,1921.28,1921.96,1916.32,1918.2,937.4579,2025-04-01 21:44:59.999,1798317.245142,5061,367.1252,704263.512917,0
2025-04-01 21:45:00,1918.19,1918.19,1914.11,1915.36,463.0764,2025-04-01 21:49:59.999,887152.59967,3157,237.3844,454702.127695,0
2025-04-01 21:50:00,1915.37,1916.59,1914.0,1914.02,446.7163,2025-04-01 21:54:59.999,855636.840883,3111,244.1656,467659.966637,0
2025-04-01 21:55:00,1914.01,1916.59,1912.52,1915.01,713.3461,2025-04-01 21:59:59.999,1365727.161227,3833,383.3183,733845.520438,0
2025-04-01 22:00:00,1915.02,1916.59,1911.89,1913.09,1588.2161,2025-04-01 22:04:59.999,3040297.900734,8633,800.0466,1531509.212969,0
2025-04-01 22:05:00,1913.1,1916.19,1912.12,1912.28,531.4365,2025-04-01 22:09:59.999,1017204.235506,3895,282.4184,540552.999044,0
2025-04-01 22:10:00,1912.28,1917.5,1912.28,1916.55,838.6191,2025-04-01 22:14:59.999,1605991.266086,7583,588.2587,1126542.109759,0
2025-04-01 22:15:00,1916.55,1917.82,1914.57,1917.36,910.7545,2025-04-01 22:19:59.999,1745208.192561,4815,482.5307,924596.949171,0
