open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-04-01 23:25:00,85220.0,85346.08,85201.24,85343.67,32.6818,2025-04-01 23:29:59.999,2787506.9412675,5507,21.54505,1837555.836112,0
2025-04-01 23:30:00,85343.66,85579.46,85341.59,85361.84,151.21601,2025-04-01 23:34:59.999,12925363.8238706,16050,115.17718,9845039.8503052,0
2025-04-01 23:35:00,85361.84,85379.04,85216.0,85258.58,60.03088,2025-04-01 23:39:59.999,5120295.2667246,9129,18.11984,1545461.6849818,0
2025-04-01 23:40:00,85258.58,85261.74,85208.43,85247.54,23.36122,2025-04-01 23:44:59.999,1991147.3422199,6809,13.98622,1192019.6173935,0
2025-04-01 23:45:00,85247.55,85250.35,85153.9,85157.57,16.04204,2025-04-01 23:49:59.999,1366578.3918111,5121,9.75585,831017.1876963,0
2025-04-01 23:50:00,85157.56,85244.96,85150.78,85221.35,36.02064,2025-04-01 23:54:59.999,3069193.3942479,4596,27.99322,2385123.7666562,0
2025-04-01 23:55:00,85221.34,85236.3,85152.48,85158.34,24.03945,2025-04-01 23:59:59.999,2047999.9128113,3990,9.48689,808245.0736223,0
2025-04-02 00:00:00,85158.35,85187.28,85126.52,85177.48,38.00226,2025-04-02 00:04:59.999,3235897.8743468,9169,23.58569,2008276.2470127,0
2025-04-02 00:05:00,85177.49,85255.95,85132.16,85132.18,35.463,2025-04-02 00:09:59.999,3021281.3745426,11362,18.9271,1612699.3605078,0
2025-04-02 00:10:00,85132.18,85145.57,85103.77,85103.78,20.78357,2025-04-02 00:14:59.999,1769083.9079266,6459,12.2816,1045380.1324978,0
2025-04-02 00:15:00,85103.78,85237.5,85102.26,85119.66,71.80212,2025-04-02 00:19:59.999,6114190.7993642,10246,51.86282,4416233.5079522,0
2025-04-02 00:20:00,85119.65,85198.12,85119.65,85195.91,3.07783,2025-04-02 00:24:59.999,262062.6774031,1607,2.75277,234374.0590535,0
