open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-04-01 20:15:00,84980.54,85103.78,84980.54,85016.01,31.13651,2025-04-01 20:19:59.999,2648055.4027189,8386,17.53804,1491487.8701326,0
2025-04-01 20:20:00,85016.0,85045.71,84965.78,85040.0,17.54222,2025-04-01 20:24:59.999,1491324.0077592,4884,8.1343,691492.4785562,0
2025-04-01 20:25:00,85039.99,85048.81,84942.58,84967.1,31.42561,2025-04-01 20:29:59.999,2670729.797221,6096,10.92918,928771.1292634,0
2025-04-01 20:30:00,84967.1,85029.55,84853.14,85029.55,37.53736,2025-04-01 20:34:59.999,3187768.3155628,9132,24.89418,2113983.6605057,0
2025-04-01 20:35:00,85029.55,85043.57,84962.49,85025.28,20.0903,2025-04-01 20:39:59.999,1707845.7119665,5506,9.42819,801473.5216496,0
2025-04-01 20:40:00,85025.27,85052.0,85009.43,85021.71,17.17352,2025-04-01 20:44:59.999,1460260.927114,3795,7.01472,596451.1502443,0
2025-04-01 20:45:00,85021.72,85159.5,85010.25,85142.28,61.71731,2025-04-01 20:49:59.999,5251364.0543531,12105,35.04385,2981575.642136,0
2025-04-01 20:50:00,85142.28,85350.0,85120.0,85236.27,82.64715,2025-04-01 20:54:59.999,7046923.0282482,15898,40.56392,3458781.9992119,0
2025-04-01 20:55:00,85236.26,85291.92,85189.07,85231.28,44.42868,2025-04-01 20:59:59.999,3786992.5944848,8895,12.06986,1028682.2425435,0
2025-04-01 21:00:00,85231.28,85268.75,85120.0,85180.77,22.00229,2025-04-01 21:04:59.999,1874599.1282898,7649,11.64625,992320.6407873,0
2025-04-01 21:05:00,85180.78,85319.18,85166.56,85318.57,28.65324,2025-04-01 21:09:59.999,2442614.7692542,6226,19.79818,1687871.7253601,0
2025-04-01 21:10:00,85318.57,85332.43,85271.85,85292.46,29.55859,2025-04-01 21:14:59.999,2521559.5801819,4709,18.69643,1594973.8855893,0
2025-04-01 21:15:00,85292.45,85292.46,85174.13,85250.45,20.63268,2025-04-01 21:19:59.999,1758167.0422686,5595,10.32569,879843.8143959,0
2025-04-01 21:20:00,85250.46,85250.46,85222.0,85225.43,11.24765,2025-04-01 21:24:59.999,958573.4683363,1648,4.48803,382480.7462519,0
2025-04-01 21:25:00,85225.43,85249.15,85180.12,85184.0,24.5167,2025-04-01 21:29:59.999,2089437.9356964,3563,15.11034,1287851.6453782,0
2025-04-01 21:30:00,85184.0,85219.07,85135.26,85219.06,18.51573,2025-04-01 21:34:59.999,1577064.9260895,4366,12.30759,1048279.6228422,0
2025-04-01 21:35:00,85219.07,85476.86,85219.06,85476.0,72.6797,2025-04-01 21:39:59.999,6206232.7293908,17223,47.5432,4059181.1440485,0
2025-04-01 21:40:00,85475.99,85476.0,85337.26,85360.74,25.63518,2025-04-01 21:44:59.999,2189011.5347282,8991,12.81564,1094130.2440217,0
2025-04-01 21:45:00,85360.74,85372.65,85265.11,85292.56,25.00532,2025-04-01 21:49:59.999,2133344.7142288,7629,9.02423,769830.326777,0
2025-04-01 21:50:00,85292.56,85342.63,85238.67,85245.29,19.83964,2025-04-01 21:54:59.999,1692371.0437216,5435,11.37837,970583.2142554,0
2025-04-01 21:55:00,85245.28,85280.56,85180.71,85223.84,27.55469,2025-04-01 21:59:59.999,2348481.859359,7500,12.24868,1043880.9195429,0
2025-04-01 22:00:00,85223.84,85280.91,85144.29,85216.55,49.96256,2025-04-01 22:04:59.999,4256858.5582951,13421,30.37557,2588056.522433,0
2025-04-01 22:05:00,85216.55,85392.31,85216.54,85318.24,28.4883,2025-04-01 22:09:59.999,2431210.3046739,6977,20.89096,1782771.273007,0
2025-04-01 22:10:00,85318.24,85483.38,85314.42,85374.69,63.31707,2025-04-01 22:14:59.999,5406386.9569088,10900,46.78254,3994361.3756018,0
2025-04-01 22:15:00,85374.68,85386.55,85300.26,85354.35,18.32176,2025-04-01 22:19:59.999,1563657.8500511,5485,7.17966,612668.5349787,0
2025-04-01 22:20:00,85354.36,85357.45,85251.1,85274.54,47.60432,2025-04-01 22:24:59.999,4060152.7685847,6661,24.91793,2125151.228373,0
2025-04-01 22:25:00,85274.55,85299.27,85212.9,85222.33,44.907,2025-04-01 22:29:59.999,3828144.0486261,6762,17.13604,1460764.9098154,0
2025-04-01 22:30:00,85222.33,85300.0,85168.78,85300.0,37.17635,2025-04-01 22:34:59.999,3168243.3544684,8873,21.04992,1794100.3836096,0
2025-04-01 22:35:00,85299.99,85324.0,85208.52,85247.08,39.46577,2025-04-01 22:39:59.999,3365482.2749462,7738,14.96561,1276092.0560079,0
2025-04-01 22:40:00,85247.07,85258.99,85202.66,85209.55,15.57527,2025-04-01 22:44:59.999,1327366.714073,4852,8.4194,717517.7035648,0
2025-04-01 22:45:00,85209.55,85310.59,85206.23,85308.03,22.20237,2025-04-01 22:49:59.999,1892779.2386144,4726,17.00081,1449253.7216644,0
2025-04-01 22:50:00,85308.02,85337.75,85207.13,85247.84,40.9047,2025-04-01 22:54:59.999,3487386.9757372,6124,14.53074,1238720.7493256,0
2025-04-01 22:55:00,85247.84,85247.85,85082.0,85099.99,69.18755,2025-04-01 22:59:59.999,5890066.1223234,5748,22.74146,1935566.318529,0
2025-04-01 23:00:00,85100.0,85126.96,85016.58,85021.61,58.18043,2025-04-01 23:04:59.999,4949410.0363101,8221,19.50923,1659706.3800453,0
2025-04-01 23:05:00,85021.61,85056.54,84969.56,84995.77,25.50406,2025-04-01 23:09:59.999,2168033.4052304,5583,11.32775,962911.9017734,0
2025-04-01 23:10:00,84995.77,85056.61,84985.57,85056.61,28.68975,2025-04-01 23:14:59.999,2439216.2017922,3879,15.54667,1321830.2892724,0
2025-04-01 23:15:00,85056.61,85207.96,85056.6,85177.71,25.28857,2025-04-01 23:19:59.999,2153626.2207597,6973,12.59612,1072508.0127201,0
2025-04-01 23:20:00,85177.71,85220.0,85177.7,85220.0,14.80675,2025-04-01 23:24:59.999,1261521.4199268,4920,8.8834,756843.5580821,0
2025-04-01 23:25:00,85220.0,85346.08,85201.24,85343.67,32.6818,2025-04-01 23:29:59.999,2787506.9412675,5507,21.54505,1837555.836112,0
2025-04-01 23:30:00,85343.66,85579.46,85341.59,85361.84,151.21601,2025-04-01 23:34:59.999,12925363.8238706,16050,115.17718,9845039.8503052,0
2025-04-01 23:35:00,85361.84,85379.04,85216.0,85258.58,60.03088,2025-04-01 23:39:59.999,5120295.2667246,9129,18.11984,1545461.6849818,0
2025-04-01 23:40:00,85258.58,85261.74,85208.43,85247.54,23.36122,2025-04-01 23:44:59.999,1991147.3422199,6809,13.98622,1192019.6173935,0
2025-04-01 23:45:00,85247.55,85250.35,85153.9,85157.57,16.04204,2025-04-01 23:49:59.999,1366578.3918111,5121,9.75585,831017.1876963,0
2025-04-01 23:50:00,85157.56,85244.96,85150.78,85221.35,36.02064,2025-04-01 23:54:59.999,3069193.3942479,4596,27.99322,2385123.7666562,0
2025-04-01 23:55:00,85221.34,85236.3,85152.48,85158.34,24.03945,2025-04-01 23:59:59.999,2047999.9128113,3990,9.48689,808245.0736223,0
2025-04-02 00:00:00,85158.35,85187.28,85126.52,85177.48,38.00226,2025-04-02 00:04:59.999,3235897.8743468,9169,23.58569,2008276.2470127,0
2025-04-02 00:05:00,85177.49,85255.95,85132.16,85132.18,35.463,2025-04-02 00:09:59.999,3021281.3745426,11362,18.9271,1612699.3605078,0
2025-04-02 00:10:00,85132.18,85145.57,85120.53,85137.06,9.12365,2025-04-02 00:14:59.999,776699.6166006,2625,5.63033,479304.6885668,0
